Date,Name,Subscribed,Played
2020-11-25 15:58:57.025979,Bannon's War Room,3391,336061
2020-11-25 15:58:58.015819,Serial,1491973,9273871
2020-11-25 15:58:58.918014,In the Red Clay,6802,73851
2020-11-25 15:58:59.901629,Monday Morning Podcast,463023,8523147
2020-11-25 15:59:01.292506,The Glenn Beck Program,40519,2891231
2020-11-25 15:59:02.250344,The Crown: The Official Podcast,1457,19698
2020-11-26 01:08:02.392688,Bill Gates and Rashida Jones Ask Big Questions,9539,15696
2020-11-26 01:08:03.593964,The Joe Rogan Experience,3188452,151466542
2020-11-26 01:08:04.603139,Crime Junkie,554639,17351791
2020-11-26 01:08:05.846388,The Daily,1106976,51156366
2020-11-26 01:08:07.053482,Do No Harm,12497,47709
2020-11-26 01:08:08.012986,The Dan Bongino Show,67981,4292807
2020-11-26 01:08:09.088562,Real Dictators,6105,60188
2020-11-26 01:08:10.007039,House of Broken Dreams: The Jennifer Kesse Story,2399,13896
2020-11-26 01:08:11.175784,The Ben Shapiro Show,393099,27408629
2020-11-26 01:08:12.087577,Dr. Death Season 2: Dr. Fata,43820,149431
2020-11-26 01:08:13.097764,Morbid: A True Crime Podcast,45342,2247342
2020-11-26 01:08:14.054477,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,781499,26666793
2020-11-26 01:08:16.083265,This American Life,1292049,13993271
2020-11-26 01:08:17.055975,Up First,343071,14896149
2020-11-26 01:08:17.985926,Graham Allen’s Dear America Podcast,4148,161152
2020-11-26 01:08:18.961666,Dateline NBC,155342,9309401
2020-11-26 01:08:19.949769,Armchair Expert with Dax Shepard,539069,14627154
2020-11-26 01:08:20.901039,Unlocking Us with Brené Brown,88855,1191187
2020-11-26 01:08:21.877720,Pod Save America,331240,10465989
2020-11-26 01:08:22.814115,You're Wrong About,23709,664252
2020-11-26 01:08:23.744476,SmartLess,25885,287941
2020-11-26 01:08:24.759149,Stuff You Should Know,1820041,42586523
2020-11-26 01:08:25.704031,The Charlie Kirk Show,12802,657837
2020-11-26 01:08:26.672371,Call Her Daddy,216240,4954149
2020-11-26 01:08:27.693661,Unashamed with Phil & Jase Robertson,13969,573147
2020-11-26 01:08:28.470096,That's Messed Up: An SVU Podcast,526,407
2020-11-26 01:08:30.605116,Louder Than A Riot,1798,12050
2020-11-26 01:08:32.066513,The Megyn Kelly Show,13091,114365
2020-11-26 01:08:33.047838,Fresh Air,361359,8990833
2020-11-26 01:08:34.024494,Dead and Gone,9761,53484
2020-11-26 01:08:34.972293,Pardon My Take,159263,3809539
2020-11-26 01:08:36.472694,Consider This from NPR,22815,846504
2020-11-26 01:08:37.484941,The Daily Show With Trevor Noah: Ears Edition,176171,9564568
2020-11-26 01:08:38.412505,CHARLI AND DIXIE: 2 CHIX,14697,31678
2020-11-26 01:08:39.455509,The Bill Simmons Podcast,144040,4993341
2020-11-26 01:08:40.465793,Tom Brown's Body,6520,46864
2020-11-26 01:08:41.402340,Conan O’Brien Needs A Friend,202262,6885693
2020-11-26 01:08:42.318582,Dr. Death,441536,5610035
2020-11-26 01:08:43.268535,California City,1169,18734
2020-11-26 01:08:44.202497,Office Ladies,149978,3466195
2020-11-26 01:08:45.167314,The Dave Ramsey Show,376081,27786751
2020-11-26 01:08:45.880882,Tenfold More Wicked,718,1218
2020-11-26 01:08:46.890081,The Michelle Obama Podcast,28014,51109
2020-11-26 01:08:48.097004,Mark Levin Podcast,64922,2554087
2020-11-26 01:08:49.168439,Hidden Brain,922422,10468124
2020-11-26 01:08:50.149429,2 Bears 1 Cave with Tom Segura & Bert Kreischer,47162,1756070
2020-11-26 01:08:51.252057,The Rush Limbaugh Show,6922,270948
2020-11-26 01:08:52.163586,Anatomy of Murder,11915,79918
2020-11-26 01:08:53.276551,The NPR Politics Podcast,340455,7430433
2020-11-26 01:08:54.254108,The Candace Owens Show,14124,277321
2020-11-26 01:08:55.210506,Wait Wait... Don't Tell Me!,504143,5174603
2020-11-26 01:08:56.138181,Sway,5795,45360
2020-11-26 01:08:57.394302,Radiolab,856003,7679378
2020-11-26 01:08:59.510453,How I Built This with Guy Raz,554598,7669123
2020-11-26 01:09:00.480852,Bannon's War Room,3424,339368
2020-11-26 01:09:01.482024,Serial,1491968,9275969
2020-11-26 01:09:02.388977,In the Red Clay,6823,74475
2020-11-26 01:09:03.388126,Monday Morning Podcast,463059,8526981
2020-11-26 01:09:04.557918,The Glenn Beck Program,40543,2894807
2020-11-26 01:09:05.572623,The Crown: The Official Podcast,1563,20222
2020-11-27 01:08:01.799970,Bill Gates and Rashida Jones Ask Big Questions,10218,16919
2020-11-27 01:08:02.785580,The Joe Rogan Experience,3188679,151556403
2020-11-27 01:08:03.814416,Crime Junkie,554900,17364955
2020-11-27 01:08:05.047095,The Daily,1107162,51177366
2020-11-27 01:08:05.932236,Do No Harm,12821,49711
2020-11-27 01:08:06.862530,The Dan Bongino Show,67974,4292920
2020-11-27 01:08:08.003897,Real Dictators,6302,60934
2020-11-27 01:08:08.909173,House of Broken Dreams: The Jennifer Kesse Story,2557,14651
2020-11-27 01:08:10.008468,The Ben Shapiro Show,393247,27422736
2020-11-27 01:08:10.895880,Dr. Death Season 2: Dr. Fata,44719,153320
2020-11-27 01:08:11.863253,Morbid: A True Crime Podcast,45515,2255040
2020-11-27 01:08:12.789534,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,781663,26688028
2020-11-27 01:08:13.706343,This American Life,1292242,14002431
2020-11-27 01:08:14.658341,Up First,343071,14896149
2020-11-27 01:08:15.610522,Graham Allen’s Dear America Podcast,4219,161490
2020-11-27 01:08:16.538728,Dateline NBC,155506,9333813
2020-11-27 01:08:17.672772,Armchair Expert with Dax Shepard,539069,14627154
2020-11-27 01:08:19.013935,Unlocking Us with Brené Brown,89121,1195397
2020-11-27 01:08:19.951629,Pod Save America,331278,10479448
2020-11-27 01:08:20.913126,You're Wrong About,23708,664381
2020-11-27 01:08:21.855551,SmartLess,26044,289824
2020-11-27 01:08:22.886925,Stuff You Should Know,1820527,42680541
2020-11-27 01:08:23.856406,The Charlie Kirk Show,12963,661229
2020-11-27 01:08:24.830165,Call Her Daddy,216351,4956378
2020-11-27 01:08:25.834807,Unashamed with Phil & Jase Robertson,13969,573147
2020-11-27 01:08:26.535240,That's Messed Up: An SVU Podcast,526,407
2020-11-27 01:08:27.424970,Louder Than A Riot,1809,12215
2020-11-27 01:08:28.376125,The Megyn Kelly Show,13222,116120
2020-11-27 01:08:29.664248,Fresh Air,361383,8994903
2020-11-27 01:08:30.585750,Dead and Gone,9761,53484
2020-11-27 01:08:31.557666,Pardon My Take,159269,3810813
2020-11-27 01:08:32.515146,Consider This from NPR,22826,850839
2020-11-27 01:08:33.537715,The Daily Show With Trevor Noah: Ears Edition,176172,9565465
2020-11-27 01:08:34.464404,CHARLI AND DIXIE: 2 CHIX,14863,31960
2020-11-27 01:08:35.693100,The Bill Simmons Podcast,144050,4999430
2020-11-27 01:08:36.610518,Tom Brown's Body,6548,47341
2020-11-27 01:08:37.675607,Conan O’Brien Needs A Friend,202267,6887972
2020-11-27 01:08:38.593851,Dr. Death,441536,5610035
2020-11-27 01:08:39.519081,California City,1180,18886
2020-11-27 01:08:40.457129,Office Ladies,150079,3471446
2020-11-27 01:08:41.446281,The Dave Ramsey Show,376105,27799169
2020-11-27 01:08:42.307767,Tenfold More Wicked,755,1324
2020-11-27 01:08:43.202101,The Michelle Obama Podcast,28439,51808
2020-11-27 01:08:44.463717,Mark Levin Podcast,64974,2558424
2020-11-27 01:08:45.383962,Hidden Brain,922500,10473368
2020-11-27 01:08:46.321667,2 Bears 1 Cave with Tom Segura & Bert Kreischer,47162,1756070
2020-11-27 01:08:47.467726,The Rush Limbaugh Show,6922,270948
2020-11-27 01:08:48.377963,Anatomy of Murder,11967,81755
2020-11-27 01:08:49.431500,The NPR Politics Podcast,340457,7435380
2020-11-27 01:08:50.434835,The Candace Owens Show,14127,277630
2020-11-27 01:08:51.442925,Wait Wait... Don't Tell Me!,504143,5174603
2020-11-27 01:08:52.420592,Sway,5795,45360
2020-11-27 01:08:53.487512,Radiolab,856025,7684852
2020-11-27 01:08:54.414784,How I Built This with Guy Raz,554598,7669123
2020-11-27 01:08:55.361225,Bannon's War Room,3437,342218
2020-11-27 01:08:56.326977,Serial,1491968,9275969
2020-11-27 01:08:57.221676,In the Red Clay,6847,74847
2020-11-27 01:08:58.164737,Monday Morning Podcast,463073,8529552
2020-11-27 01:08:59.413609,The Glenn Beck Program,40543,2894807
2020-11-27 01:09:00.350662,The Crown: The Official Podcast,1619,21009
2020-11-28 01:08:01.646905,Bill Gates and Rashida Jones Ask Big Questions,10709,17860
2020-11-28 01:08:02.667814,The Joe Rogan Experience,3188908,151667779
2020-11-28 01:08:03.632603,Crime Junkie,555135,17376394
2020-11-28 01:08:04.809173,The Daily,1107326,51190050
2020-11-28 01:08:05.695160,Do No Harm,13144,51437
2020-11-28 01:08:06.643473,The Dan Bongino Show,68277,4310543
2020-11-28 01:08:07.547247,Real Dictators,6302,60934
2020-11-28 01:08:08.461271,House of Broken Dreams: The Jennifer Kesse Story,2695,15524
2020-11-28 01:08:09.408762,The Ben Shapiro Show,393394,27446198
2020-11-28 01:08:10.379505,Dr. Death Season 2: Dr. Fata,45576,156894
2020-11-28 01:08:11.678666,Morbid: A True Crime Podcast,45669,2263920
2020-11-28 01:08:12.649793,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,781792,26716388
2020-11-28 01:08:13.551387,This American Life,1292416,14009303
2020-11-28 01:08:14.495463,Up First,343315,14932464
2020-11-28 01:08:15.417668,Graham Allen’s Dear America Podcast,4219,161490
2020-11-28 01:08:16.361838,Dateline NBC,155506,9333813
2020-11-28 01:08:17.329450,Armchair Expert with Dax Shepard,539347,14656488
2020-11-28 01:08:18.252528,Unlocking Us with Brené Brown,89339,1198362
2020-11-28 01:08:19.565922,Pod Save America,331298,10484547
2020-11-28 01:08:20.505960,You're Wrong About,24003,667371
2020-11-28 01:08:21.552278,SmartLess,26237,291492
2020-11-28 01:08:22.500115,Stuff You Should Know,1820711,42699539
2020-11-28 01:08:23.444349,The Charlie Kirk Show,13081,666338
2020-11-28 01:08:24.395326,Call Her Daddy,216441,4958332
2020-11-28 01:08:25.353721,Unashamed with Phil & Jase Robertson,14026,575805
2020-11-28 01:08:26.050817,That's Messed Up: An SVU Podcast,607,462
2020-11-28 01:08:26.931160,Louder Than A Riot,1817,12315
2020-11-28 01:08:27.853970,The Megyn Kelly Show,13362,119751
2020-11-28 01:08:28.985118,Fresh Air,361402,9004578
2020-11-28 01:08:29.919223,Dead and Gone,10153,57373
2020-11-28 01:08:30.920680,Pardon My Take,159278,3811958
2020-11-28 01:08:31.887184,Consider This from NPR,22836,855119
2020-11-28 01:08:32.818075,The Daily Show With Trevor Noah: Ears Edition,176260,9587709
2020-11-28 01:08:33.721452,CHARLI AND DIXIE: 2 CHIX,14990,32295
2020-11-28 01:08:34.668015,The Bill Simmons Podcast,144054,5006000
2020-11-28 01:08:35.561031,Tom Brown's Body,6574,47803
2020-11-28 01:08:36.472455,Conan O’Brien Needs A Friend,202243,6892549
2020-11-28 01:08:37.378509,Dr. Death,441573,5615278
2020-11-28 01:08:38.261528,California City,1180,18886
2020-11-28 01:08:39.215083,Office Ladies,150112,3475270
2020-11-28 01:08:40.194187,The Dave Ramsey Show,376102,27849222
2020-11-28 01:08:40.922240,Tenfold More Wicked,804,1494
2020-11-28 01:08:41.805441,The Michelle Obama Podcast,28844,52469
2020-11-28 01:08:42.958054,Mark Levin Podcast,65008,2562372
2020-11-28 01:08:43.905919,Hidden Brain,922459,10478537
2020-11-28 01:08:44.850510,2 Bears 1 Cave with Tom Segura & Bert Kreischer,47207,1760456
2020-11-28 01:08:46.054207,The Rush Limbaugh Show,6963,273286
2020-11-28 01:08:46.955251,Anatomy of Murder,12013,82981
2020-11-28 01:08:47.915146,The NPR Politics Podcast,340462,7451228
2020-11-28 01:08:48.878485,The Candace Owens Show,14127,277630
2020-11-28 01:08:49.851553,Wait Wait... Don't Tell Me!,504155,5183111
2020-11-28 01:08:50.900911,Sway,5805,45880
2020-11-28 01:08:51.974355,Radiolab,856046,7688995
2020-11-28 01:08:52.884640,How I Built This with Guy Raz,554682,7675904
2020-11-28 01:08:53.827310,Bannon's War Room,3437,342218
2020-11-28 01:08:54.757189,Serial,1491952,9277666
2020-11-28 01:08:55.661611,In the Red Clay,6863,75287
2020-11-28 01:08:56.838802,Monday Morning Podcast,463083,8531139
2020-11-28 01:08:58.124335,The Glenn Beck Program,40563,2898494
2020-11-28 01:08:59.084437,The Crown: The Official Podcast,1619,21009
2020-11-29 01:08:01.246381,Bill Gates and Rashida Jones Ask Big Questions,11194,18720
2020-11-29 01:08:02.208926,The Joe Rogan Experience,3188908,151667779
2020-11-29 01:08:03.129356,Crime Junkie,555135,17376394
2020-11-29 01:08:04.310230,The Daily,1107326,51190050
2020-11-29 01:08:05.199375,Do No Harm,13466,52986
2020-11-29 01:08:06.203332,The Dan Bongino Show,68419,4315351
2020-11-29 01:08:07.184273,Real Dictators,6443,61765
2020-11-29 01:08:08.064474,House of Broken Dreams: The Jennifer Kesse Story,2848,16255
2020-11-29 01:08:09.024917,The Ben Shapiro Show,393532,27454294
2020-11-29 01:08:09.897066,Dr. Death Season 2: Dr. Fata,46482,160228
2020-11-29 01:08:10.880901,Morbid: A True Crime Podcast,45835,2269378
2020-11-29 01:08:11.832845,My Favorite Murder with Karen Kilgariff and Georgia Hardstark,781792,26716388
2020-11-29 01:08:12.767564,This American Life,1292576,14015232
2020-11-29 01:08:13.838532,Up First,343424,14950048
2020-11-29 01:08:14.757186,Graham Allen’s Dear America Podcast,4266,161859
2020-11-29 01:08:15.673899,Dateline NBC,155693,9348162
2020-11-29 01:08:16.615255,Armchair Expert with Dax Shepard,539470,14662327
2020-11-29 01:08:17.613913,Unlocking Us with Brené Brown,89339,1198362
2020-11-29 01:08:18.553592,Pod Save America,331298,10484547
2020-11-29 01:08:19.484373,You're Wrong About,24252,670344
2020-11-29 01:08:20.431521,SmartLess,26386,293049
2020-11-29 01:08:21.344903,Stuff You Should Know,1820711,42699539
2020-11-29 01:08:22.293485,The Charlie Kirk Show,13184,671403
2020-11-29 01:08:23.225647,Call Her Daddy,216581,4960170
2020-11-29 01:08:24.210570,Unashamed with Phil & Jase Robertson,14026,575805
2020-11-29 01:08:25.055659,That's Messed Up: An SVU Podcast,632,493
2020-11-29 01:08:25.932789,Louder Than A Riot,1838,12447
2020-11-29 01:08:26.891195,The Megyn Kelly Show,13480,121422
2020-11-29 01:08:27.813242,Fresh Air,361493,9022222
2020-11-29 01:08:28.844649,Dead and Gone,10395,58766
2020-11-29 01:08:30.061907,Pardon My Take,159281,3812693
2020-11-29 01:08:30.970833,Consider This from NPR,22844,858337
2020-11-29 01:08:31.938253,The Daily Show With Trevor Noah: Ears Edition,176260,9587709
2020-11-29 01:08:32.816671,CHARLI AND DIXIE: 2 CHIX,15105,32487
2020-11-29 01:08:33.762224,The Bill Simmons Podcast,144067,5008240
2020-11-29 01:08:34.732269,Tom Brown's Body,6595,48289
2020-11-29 01:08:35.682892,Conan O’Brien Needs A Friend,202243,6892549
2020-11-29 01:08:36.607320,Dr. Death,441630,5621078
2020-11-29 01:08:37.469873,California City,1189,19006
2020-11-29 01:08:38.401076,Office Ladies,150112,3475270
